Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
409,Niklas Stark\Niklas-Stark,de GER,MFDF,Hertha BSC,25-308,1995,20.9,8,038,6,0,0,0,1,1,0,000,0,0,0,0,0,0,0,Spiele
410,Renato Steffen\Renato-Steffen,ch SUI,FWMF,Wolfsburg,29-105,1991,14.9,43,289,33,0,3,3,2,2,8,054,7,0,0,0,1,0,0,Spiele
411,Pascal Stenzel\Pascal-Stenzel,de GER,DF,Stuttgart,24-333,1996,11.4,8,070,7,1,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
412,Lars Stindl\Lars-Stindl,de GER,MFFW,M'Gladbach,32-174,1988,15.1,44,292,30,6,0,5,2,1,10,066,6,0,0,3,0,1,0,Spiele
413,Kevin Stöger\Kevin-Stoger,at AUT,MFFW,Mainz 05,27-173,1993,4.1,17,416,13,3,0,1,0,0,0,000,0,0,0,0,0,0,0,Spiele
414,Tobias Strobl\Tobias-Strobl,de GER,MF,Augsburg,30-280,1990,13.9,19,137,18,1,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
415,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,32-324,1988,1.9,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
416,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,25-166,1995,10.9,12,121,10,0,0,2,0,0,4,040,4,0,0,0,0,0,0,Spiele
417,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,33-069,1987,2.7,3,113,3,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
418,Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,28-308,1992,1.1,1,091,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
419,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,25-073,1995,9.9,39,395,28,0,2,6,1,2,1,010,0,0,0,1,0,0,0,Spiele
420,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,25-005,1996,14.2,2,014,2,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
421,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,22-014,1999,17.5,15,086,15,0,0,0,0,0,1,006,1,0,0,0,0,0,0,Spiele
422,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,19-365,2001,0.8,1,130,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
423,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,22-014,1999,2.6,1,039,0,0,0,0,1,0,0,000,0,0,0,0,0,0,0,Spiele
424,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,24-033,1997,6.7,14,209,9,1,1,2,1,0,2,030,1,1,0,0,0,0,0,Spiele
425,Malick Thiaw\Malick-Thiaw,fi FIN,DF,Schalke 04,19-192,2001,7.4,5,068,5,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
426,Jan Thielmann\Jan-Thielmann,de GER,FW,Köln,18-266,2002,9.3,14,151,13,0,0,1,0,0,2,022,1,0,0,1,0,0,0,Spiele
427,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,26-180,1994,1.3,5,378,3,1,0,1,0,0,2,151,2,0,0,0,0,0,0,Spiele
428,Marcus Thuram\Marcus-Thuram,fr FRA,FWMF,M'Gladbach,23-194,1997,9.3,21,225,9,0,1,5,6,0,5,054,1,0,0,1,3,0,0,Spiele
429,Steffen Tigges\Steffen-Tigges,de GER,FWDF,Dortmund,22-200,1998,0.2,1,409,0,0,0,0,0,1,0,000,0,0,0,0,0,0,0,Spiele
430,Guus Til\Guus-Til,nl NED,FWMF,Freiburg,23-056,1997,0.2,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
431,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,26-197,1994,8.1,14,196,9,3,1,0,1,0,2,028,2,0,0,0,0,0,0,Spiele
432,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,31-210,1989,12.6,7,056,5,0,0,0,2,0,0,000,0,0,0,0,0,0,0,Spiele
